Dataset,Seed,AEVariant,Family,FamilyMetricCollapsed,CollapsedMetricValue,FamilyRowCountWithinSeed,MCC
CTU13,123,RES_DAE,CAUCHY,0.5863970108719907,0.5863970108719907,36,0.5863970108719907
CTU13,123,RES_DAE,CONST,0.5791570670283717,0.5791570670283717,9,0.5791570670283717
CTU13,123,RES_DAE,COSINE,0.594586167225427,0.594586167225427,36,0.594586167225427
CTU13,123,RES_DAE,EXPONENTIAL,0.5913589883248913,0.5913589883248913,36,0.5913589883248913
CTU13,123,RES_DAE,FIBONACCI,0.578738818871319,0.578738818871319,36,0.578738818871319
CTU13,123,RES_DAE,LAPLACE,0.5938669322091475,0.5938669322091475,36,0.5938669322091475
CTU13,123,RES_DAE,LINEAR,0.5923274615982101,0.5923274615982101,36,0.5923274615982101
CTU13,123,RES_DAE,LOGISTIC,0.5938723476540646,0.5938723476540646,36,0.5938723476540646
CTU13,123,RES_DAE,SIGMOID,0.5897931438612829,0.5897931438612829,36,0.5897931438612829
CTU13,123,SPARSE_DAE,CAUCHY,0.5060481575370419,0.5060481575370419,36,0.5060481575370419
CTU13,123,SPARSE_DAE,CONST,0.5068034932742208,0.5068034932742208,9,0.5068034932742208
CTU13,123,SPARSE_DAE,COSINE,0.5068034932742208,0.5068034932742208,36,0.5068034932742208
CTU13,123,SPARSE_DAE,EXPONENTIAL,0.5049218059806143,0.5049218059806143,36,0.5049218059806143
CTU13,123,SPARSE_DAE,FIBONACCI,0.5041318312986183,0.5041318312986183,36,0.5041318312986183
CTU13,123,SPARSE_DAE,LAPLACE,0.5061588927590966,0.5061588927590966,36,0.5061588927590966
CTU13,123,SPARSE_DAE,LINEAR,0.5059334957064785,0.5059334957064785,36,0.5059334957064785
CTU13,123,SPARSE_DAE,LOGISTIC,0.5068034932742208,0.5068034932742208,36,0.5068034932742208
CTU13,123,SPARSE_DAE,SIGMOID,0.5068034932742208,0.5068034932742208,36,0.5068034932742208
