Dataset,Seed,AEVariant,Family,FamilyMetricCollapsed,CollapsedMetricValue,FamilyRowCountWithinSeed,MCC
HIKARI2021,42,SPARSE_DAE,LOGISTIC,0.2585859585562706,0.2585859585562706,36,0.2585859585562706
HIKARI2021,42,SPARSE_DAE,SIGMOID,0.2585859585562706,0.2585859585562706,36,0.2585859585562706
HIKARI2021,123,DVAE,CAUCHY,0.21511823926248913,0.21511823926248913,36,0.21511823926248913
HIKARI2021,123,DVAE,CONST,0.2319434057173032,0.2319434057173032,9,0.2319434057173032
HIKARI2021,123,DVAE,COSINE,0.23175346249437914,0.23175346249437914,36,0.23175346249437914
HIKARI2021,123,DVAE,EXPONENTIAL,0.21726561399792782,0.21726561399792782,36,0.21726561399792782
HIKARI2021,123,DVAE,FIBONACCI,0.2159554434262841,0.2159554434262841,36,0.2159554434262841
HIKARI2021,123,DVAE,LAPLACE,0.21667186683838496,0.21667186683838496,36,0.21667186683838496
HIKARI2021,123,DVAE,LINEAR,0.23154736130415265,0.23154736130415265,36,0.23154736130415265
HIKARI2021,123,DVAE,LOGISTIC,0.23083436517081296,0.23083436517081296,36,0.23083436517081296
HIKARI2021,123,DVAE,SIGMOID,0.229639481589764,0.229639481589764,36,0.229639481589764
HIKARI2021,123,FF_DAE,CAUCHY,0.12632601095237245,0.12632601095237245,36,0.12632601095237245
HIKARI2021,123,FF_DAE,CONST,0.135275327085142,0.135275327085142,9,0.135275327085142
HIKARI2021,123,FF_DAE,COSINE,0.12552970756547088,0.12552970756547088,36,0.12552970756547088
HIKARI2021,123,FF_DAE,EXPONENTIAL,0.1273223633904611,0.1273223633904611,36,0.1273223633904611
HIKARI2021,123,FF_DAE,FIBONACCI,0.1261896959250073,0.1261896959250073,36,0.1261896959250073
HIKARI2021,123,FF_DAE,LAPLACE,0.1324648941840429,0.1324648941840429,36,0.1324648941840429
HIKARI2021,123,FF_DAE,LINEAR,0.1254564430385261,0.1254564430385261,36,0.1254564430385261
HIKARI2021,123,FF_DAE,LOGISTIC,0.11943088263674065,0.11943088263674065,36,0.11943088263674065
HIKARI2021,123,FF_DAE,SIGMOID,0.12838256447739038,0.12838256447739038,36,0.12838256447739038
HIKARI2021,123,RES_DAE,CAUCHY,0.1272207555179232,0.1272207555179232,36,0.1272207555179232
HIKARI2021,123,RES_DAE,CONST,0.148465485114815,0.148465485114815,9,0.148465485114815
HIKARI2021,123,RES_DAE,COSINE,0.13067621097805776,0.13067621097805776,36,0.13067621097805776
HIKARI2021,123,RES_DAE,EXPONENTIAL,0.12792244683472104,0.12792244683472104,36,0.12792244683472104
HIKARI2021,123,RES_DAE,FIBONACCI,0.10984520316505235,0.10984520316505235,36,0.10984520316505235
HIKARI2021,123,RES_DAE,LAPLACE,0.1222153351511035,0.1222153351511035,36,0.1222153351511035
HIKARI2021,123,RES_DAE,LINEAR,0.1294010588594,0.1294010588594,36,0.1294010588594
HIKARI2021,123,RES_DAE,LOGISTIC,0.132149457395269,0.132149457395269,36,0.132149457395269
