Family,AEVariant,metric,delta_column,paired_delta_basis_used,n_pairs,mean_delta_MCC,median_delta_MCC,std_delta_MCC,min_delta_MCC,max_delta_MCC,positive_delta_count,negative_delta_count,zero_delta_count,win_rate_vs_const,test_name,p_value,effect_size,improves_vs_const,inferential_note,mean_delta_MCC_ci_low,mean_delta_MCC_ci_high,median_delta_MCC_ci_low,median_delta_MCC_ci_high,mean_delta_Accuracy,mean_delta_F1_Score,mean_delta_ROC_AUC,mean_delta_PR_AUC,holm_p_value,bh_p_value,significant_holm,significant_bh
COSINE,SPARSE_DAE,MCC,delta_MCC_vs_const_median,median,108,-2.29230779347531e-06,0.0,0.00019797735941839254,-0.0007743058125794788,0.0007079299407096173,41,38,29,0.37962962962962965,wilcoxon_signed_rank_greater,0.6191382727380141,-0.01351513117088438,False,,-3.894729956712961e-05,3.5067736774058194e-05,0.0,0.0,-0.00011517027952779271,-0.00020798442332502272,-5.7365233732110374e-06,-1.8980076580626331e-06,1.0,0.8981789841370362,False,False
SIGMOID,SPARSE_DAE,MCC,delta_MCC_vs_const_median,median,108,-4.736878149980756e-06,0.0,0.0001892964770441481,-0.0007743058125794788,0.0006821183993180324,41,38,29,0.37962962962962965,wilcoxon_signed_rank_greater,0.6209992457273285,-0.02921138462243808,False,,-4.044578967876118e-05,3.0316378158260083e-05,0.0,0.0,-0.0001167873349345779,-0.00020990669634164425,-6.740422527109943e-06,-2.6500256350261267e-06,1.0,0.8981789841370362,False,False
FIBONACCI,FF_DAE,MCC,delta_MCC_vs_const_median,median,108,-0.0006024010042490238,-6.431246558680215e-05,0.018690841279224133,-0.09865103446160717,0.036468112690888455,54,54,0,0.5,wilcoxon_signed_rank_greater,0.5548526825975411,-0.03222974264333382,False,,-0.00422515375566103,0.002891814220955992,-0.0024163762310233095,0.0009542617953967621,-0.002649096101962167,-0.0017784150311448328,0.01030333337167225,0.009510292428128323,1.0,0.8981789841370362,False,False
COSINE,DVAE,MCC,delta_MCC_vs_const_median,median,108,-0.01327612037245813,0.00047201120714790434,0.055689089646108525,-0.2091589516739985,0.13217888274940714,63,45,0,0.5833333333333334,wilcoxon_signed_rank_greater,0.8513286887343081,-0.23839715205593145,False,,-0.024017280253218153,-0.002851211713331961,-0.0039824607075260865,0.0017078382152211358,0.018992675098352927,0.00259024434696799,-0.01340195955316871,-0.016140077862049046,1.0,0.9999991694832081,False,False
LOGISTIC,DVAE,MCC,delta_MCC_vs_const_median,median,108,-0.014722946321517768,0.0006250544126148727,0.05794224443889072,-0.21068339291909988,0.13233252241826599,61,47,0,0.5648148148148148,wilcoxon_signed_rank_greater,0.855550317092332,-0.25409692813662665,False,,-0.025797783834412846,-0.003838934821914435,-0.0009923770351943917,0.002156259038318259,0.01864410982177896,0.002653970677866904,-0.01449789246531814,-0.01722045002655149,1.0,0.9999991694832081,False,False
LINEAR,DVAE,MCC,delta_MCC_vs_const_median,median,108,-0.015472319829305185,0.0006123009412102032,0.05871514947922703,-0.2104788737357317,0.1250415636325286,61,47,0,0.5648148148148148,wilcoxon_signed_rank_greater,0.8703341973154004,-0.26351495255097085,False,,-0.026669428483061506,-0.004561582176747885,-0.0009415182038430003,0.0021129616386426258,0.017906013864992434,0.002177324911465026,-0.015425519869579053,-0.01833944772196258,1.0,0.9999991694832081,False,False
CAUCHY,DVAE,MCC,delta_MCC_vs_const_median,median,108,-0.016609134098592642,0.0001426801020196211,0.06283080570686563,-0.19815548919116888,0.13073951939450368,57,51,0,0.5277777777777778,wilcoxon_signed_rank_greater,0.9516744964099977,-0.26434698570980425,False,,-0.028397597901507164,-0.00468720521718642,-0.008736289865221281,0.0015642155508081013,0.015853611208134468,-0.00074729412313925,-0.01559990668812854,-0.01954044535094121,1.0,0.9999991694832081,False,False
SIGMOID,DVAE,MCC,delta_MCC_vs_const_median,median,108,-0.01741729038414419,0.0005591759546878794,0.05950388342002141,-0.2157016330007781,0.13322308642394465,63,45,0,0.5833333333333334,wilcoxon_signed_rank_greater,0.9188993868374897,-0.29270846510819576,False,,-0.028763299709409818,-0.006220141989691414,-0.0032763495554721358,0.002235584098393581,0.017106649475570994,4.612401256256956e-05,-0.015816524008932315,-0.01696168695273607,1.0,0.9999991694832081,False,False
LAPLACE,DVAE,MCC,delta_MCC_vs_const_median,median,108,-0.024378634921837346,-0.0031539969715526917,0.06982506571740693,-0.21714683687590397,0.1284851395811316,52,56,0,0.48148148148148145,wilcoxon_signed_rank_greater,0.9959549098647104,-0.34913873221619857,False,,-0.03763207693836229,-0.011590445202828507,-0.025460287831728823,0.0018685847048725002,0.012868526927206669,-0.00040669620530656766,-0.021012649614598904,-0.023531223909308188,1.0,0.9999991694832081,False,False
EXPONENTIAL,DVAE,MCC,delta_MCC_vs_const_median,median,108,-0.04243016476887225,-0.030627640897051278,0.07919749067510477,-0.22684215202736357,0.09127770128458379,45,63,0,0.4166666666666667,wilcoxon_signed_rank_greater,0.9999936369523624,-0.5357513780632213,False,,-0.056423500457338405,-0.026116612286349785,-0.055465915671769866,0.00034861822883267,0.0021675729363857914,-0.009954304721224485,-0.0388688554566591,-0.03408364136542307,1.0,0.9999991694832081,False,False
FIBONACCI,DVAE,MCC,delta_MCC_vs_const_median,median,108,-0.04288165649985977,-0.045168732293861896,0.0749712031780529,-0.20741611666298937,0.11696593131758592,42,66,0,0.3888888888888889,wilcoxon_signed_rank_greater,0.9999991694832081,-0.5719750341667317,False,,-0.056288980046880904,-0.027353339835571353,-0.06919927178356744,-0.00022637922183987857,-0.001874706234934406,-0.017421169126042052,-0.03652176126028936,-0.030079066175930744,1.0,0.9999991694832081,False,False
